epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
72,211.125,1.36659,0.16024,0.40343,0.64472,0.02675,6.55127,0.92128,0.95541,0.96236,0.47048,0.92128,0.95541,0.95215,0.95215,1.66742,0.08756,0.10563,0.4944,0.03423,0,0.0005314,0.0005314,0.0005314
73,213.884,1.36455,0.12003,0.46907,0.5835,0.02783,5.67658,0.93976,0.95918,0.96486,0.5141,0.93976,0.95918,0.95525,0.95525,1.52,0.08992,0.10316,0.46204,0.03144,0,0.0005248,0.0005248,0.0005248
74,216.645,1.34687,0.12116,0.42417,0.59246,0.02734,5.54389,0.94149,0.95918,0.96183,0.53916,0.94149,0.95918,0.95359,0.95359,1.45634,0.08659,0.1003,0.4458,0.02984,0,0.0005182,0.0005182,0.0005182
75,219.418,1.31393,0.08924,0.51146,0.59132,0.02565,5.38088,0.93693,0.93878,0.9459,0.57828,0.93693,0.93878,0.9459,0.9459,1.27542,0.08308,0.10324,0.40937,0.02574,0,0.0005116,0.0005116,0.0005116
76,222.163,1.2618,0.07177,0.45452,0.55826,0.02478,5.15475,0.92117,0.95405,0.94775,0.59626,0.92117,0.95405,0.94775,0.94775,1.17793,0.09131,0.10871,0.43048,0.0243,0,0.000505,0.000505,0.000505
77,224.916,1.36367,0.08129,0.41979,0.577,0.02684,5.41642,0.92152,0.9586,0.94165,0.59106,0.92152,0.9586,0.94165,0.94165,1.18774,0.09638,0.10936,0.41605,0.02507,0,0.0004984,0.0004984,0.0004984
78,227.676,1.20429,0.13528,0.44489,0.52605,0.02283,5.40854,0.95475,0.91837,0.94503,0.57529,0.95475,0.91837,0.9458,0.94565,1.24279,0.086,0.1098,0.43907,0.02596,0,0.0004918,0.0004918,0.0004918
79,230.468,1.24889,0.12277,0.40719,0.55562,0.02338,5.73802,0.9572,0.91301,0.94675,0.56813,0.9572,0.91301,0.94824,0.94794,1.32665,0.08988,0.11108,0.47394,0.02736,0,0.0004852,0.0004852,0.0004852
80,233.223,1.26511,0.10152,0.43498,0.58232,0.02437,5.38366,0.95287,0.91837,0.95193,0.56451,0.95287,0.91837,0.95193,0.95193,1.37858,0.09081,0.11275,0.48418,0.02814,0,0.0004786,0.0004786,0.0004786
81,235.991,1.34357,0.06944,0.51932,0.52699,0.02655,5.09074,0.95393,0.91837,0.94681,0.5212,0.95393,0.91837,0.95003,0.94726,1.51295,0.10424,0.11463,0.5078,0.03051,0,0.000472,0.000472,0.000472
