epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,133.18,0.72913,0.54324,1.03821,0.96861,0.98485,0.9856,0.81659,0.64732,0.45507,0.94996,0.0002476,0.0002476,0.0002476
116,134.297,0.68974,0.50556,1.04095,0.96801,0.98485,0.98638,0.82305,0.6402,0.45438,0.94934,0.000241,0.000241,0.000241
117,135.41,0.7209,0.52786,1.05356,0.95581,0.98485,0.98826,0.84109,0.57761,0.43942,0.9227,0.0002344,0.0002344,0.0002344
118,136.548,0.6789,0.51302,1.03762,0.95575,0.98175,0.98963,0.82115,0.61342,0.44538,0.93425,0.0002278,0.0002278,0.0002278
119,137.67,0.64461,0.49614,1.00484,0.95568,0.98012,0.99017,0.82524,0.63965,0.44684,0.94458,0.0002212,0.0002212,0.0002212
120,138.783,0.68668,0.51974,1.03378,0.95518,0.96879,0.99006,0.81507,0.63407,0.44179,0.94258,0.0002146,0.0002146,0.0002146
121,139.914,0.65835,0.49106,1.02433,0.95584,0.98387,0.98987,0.81707,0.60932,0.44027,0.93879,0.000208,0.000208,0.000208
122,141.039,0.612,0.47487,1.00229,0.95541,0.98485,0.98992,0.81072,0.65562,0.4489,0.95636,0.0002014,0.0002014,0.0002014
123,142.163,0.66563,0.51064,1.03253,0.95509,0.98485,0.98869,0.79566,0.73264,0.46435,0.98205,0.0001948,0.0001948,0.0001948
124,143.29,0.63074,0.47263,1.00917,0.95469,0.98485,0.98811,0.81477,0.68196,0.45172,0.96233,0.0001882,0.0001882,0.0001882
125,144.424,0.70047,0.51113,1.02796,0.95476,0.98485,0.99001,0.83011,0.63205,0.43112,0.94919,0.0001816,0.0001816,0.0001816
126,145.543,0.6993,0.50719,1.03847,0.95451,0.98485,0.99024,0.84412,0.61367,0.43496,0.94432,0.000175,0.000175,0.000175
127,146.662,0.65275,0.50568,1.01499,0.95444,0.98485,0.98983,0.83869,0.62219,0.43886,0.94029,0.0001684,0.0001684,0.0001684
128,147.782,0.63023,0.47648,1.00047,0.95409,0.98485,0.98876,0.83132,0.62557,0.44045,0.93326,0.0001618,0.0001618,0.0001618
129,148.91,0.64669,0.48251,0.99481,0.95479,0.98485,0.99015,0.84613,0.57413,0.41886,0.91251,0.0001552,0.0001552,0.0001552
130,150.046,0.64967,0.49182,1.03428,0.95516,0.98485,0.99058,0.85254,0.55446,0.40591,0.90606,0.0001486,0.0001486,0.0001486
131,151.176,0.67111,0.50698,1.0256,0.95498,0.98485,0.99058,0.8399,0.58122,0.4023,0.91726,0.000142,0.000142,0.000142
132,152.356,0.64404,0.50592,1.01051,0.95462,0.98485,0.99126,0.82576,0.62841,0.4067,0.93639,0.0001354,0.0001354,0.0001354
133,153.488,0.62223,0.49012,1.00474,0.95458,0.98485,0.99074,0.79845,0.69548,0.41379,0.95979,0.0001288,0.0001288,0.0001288
134,154.618,0.68138,0.48504,1.02613,0.95363,0.98485,0.98805,0.81161,0.65169,0.41044,0.94098,0.0001222,0.0001222,0.0001222
135,155.765,0.61819,0.46841,1.00774,0.97001,0.98026,0.98705,0.83392,0.59664,0.40481,0.91909,0.0001156,0.0001156,0.0001156
136,156.892,0.64015,0.49887,0.99872,0.96938,0.98485,0.9858,0.83372,0.5777,0.40656,0.91401,0.000109,0.000109,0.000109
137,158.023,0.64879,0.48658,1.02788,0.96818,0.98485,0.98752,0.82781,0.61342,0.41269,0.93093,0.0001024,0.0001024,0.0001024
138,159.159,0.62693,0.46614,0.99358,0.96805,0.98485,0.98799,0.82567,0.65073,0.41601,0.94808,9.58e-05,9.58e-05,9.58e-05
139,160.287,0.64387,0.49731,1.01357,0.96859,0.98485,0.98861,0.82645,0.64831,0.4122,0.94741,8.92e-05,8.92e-05,8.92e-05
140,161.41,0.58503,0.45136,0.99276,0.96861,0.98485,0.98799,0.83217,0.61171,0.40502,0.93207,8.26e-05,8.26e-05,8.26e-05
141,165.777,0.48599,0.34546,0.9076,0.96848,0.98485,0.98908,0.84176,0.56261,0.39179,0.90876,7.6e-05,7.6e-05,7.6e-05
142,166.879,0.44185,0.3219,0.88806,0.96901,0.98485,0.99015,0.83984,0.57528,0.39065,0.91588,6.94e-05,6.94e-05,6.94e-05
143,167.991,0.50478,0.35054,0.92776,0.97015,0.98478,0.99096,0.83649,0.61476,0.3901,0.93291,6.28e-05,6.28e-05,6.28e-05
144,169.119,0.45245,0.3226,0.90371,0.96939,0.98485,0.99064,0.82853,0.6242,0.39289,0.9369,5.62e-05,5.62e-05,5.62e-05
145,170.222,0.4619,0.33796,0.9014,0.96919,0.98485,0.99143,0.82862,0.63423,0.39444,0.9423,4.96e-05,4.96e-05,4.96e-05
146,171.326,0.47739,0.33553,0.91545,0.96881,0.98485,0.9916,0.83271,0.61609,0.39454,0.93372,4.3e-05,4.3e-05,4.3e-05
147,172.45,0.47408,0.33763,0.91095,0.96884,0.98485,0.99141,0.83892,0.60463,0.39148,0.92808,3.64e-05,3.64e-05,3.64e-05
148,173.628,0.45652,0.32581,0.88983,0.9689,0.98485,0.99144,0.84044,0.59788,0.39066,0.92505,2.98e-05,2.98e-05,2.98e-05
149,174.742,0.43771,0.3278,0.89883,0.96895,0.98485,0.99144,0.84218,0.59451,0.38902,0.92489,2.32e-05,2.32e-05,2.32e-05
150,175.868,0.45711,0.32875,0.88852,0.96897,0.98485,0.99164,0.84284,0.60049,0.3888,0.92704,1.66e-05,1.66e-05,1.66e-05
