epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
87,373.342,0.33543,0.54833,0.30015,0.90932,0,0.96174,0.98187,0.99155,0.94419,0.96174,0.98187,0.99155,0.9253,0.30588,0.57429,0.27168,0.92396,0,0.0004324,0.0004324,0.0004324
88,377.637,0.316,0.49898,0.27779,0.88807,0,0.9614,0.97656,0.99053,0.94576,0.9614,0.97656,0.99053,0.92798,0.29893,0.5309,0.27093,0.928,0,0.0004258,0.0004258,0.0004258
89,382.037,0.32082,0.515,0.30002,0.89447,0,0.96894,0.975,0.99115,0.94566,0.96894,0.975,0.99115,0.93564,0.31671,0.52384,0.28076,0.92234,0,0.0004192,0.0004192,0.0004192
90,386.256,0.35067,0.53096,0.27907,0.90016,0,0.96755,0.97656,0.99042,0.94886,0.96755,0.97656,0.99042,0.93569,0.29919,0.53918,0.2653,0.92337,0,0.0004126,0.0004126,0.0004126
91,390.435,0.34934,0.54915,0.3081,0.8977,0,0.96896,0.97566,0.99121,0.94455,0.96896,0.97566,0.99121,0.92962,0.29856,0.54341,0.2569,0.92172,0,0.000406,0.000406,0.000406
92,394.64,0.30979,0.492,0.50187,0.86804,0,0.96921,0.98373,0.98398,0.94329,0.96921,0.98373,0.98398,0.93276,0.30522,0.51131,0.26003,0.90944,0,0.0003994,0.0003994,0.0003994
93,398.742,0.32391,0.54508,0.29695,0.89088,0,0.96915,0.98185,0.98366,0.94619,0.96915,0.98185,0.98366,0.93437,0.29149,0.50996,0.26313,0.91237,0,0.0003928,0.0003928,0.0003928
94,403.033,0.34117,0.51206,0.2873,0.90557,0,0.98521,0.95312,0.98344,0.94633,0.98521,0.95312,0.98344,0.93246,0.28341,0.51245,0.26322,0.90264,0,0.0003862,0.0003862,0.0003862
95,407.287,0.29378,0.48396,0.27877,0.88195,0,0.97504,0.96094,0.98321,0.94647,0.97504,0.96094,0.98321,0.93694,0.28383,0.52662,0.27485,0.90175,0,0.0003796,0.0003796,0.0003796
96,411.554,0.30362,0.50118,0.26759,0.88193,0,0.95419,0.97638,0.99042,0.95661,0.95419,0.97638,0.99042,0.9407,0.2808,0.51542,0.26625,0.90192,0,0.000373,0.000373,0.000373
97,415.792,0.29003,0.49939,0.25854,0.87757,0,0.9608,0.97656,0.99133,0.94537,0.9608,0.97656,0.99133,0.95012,0.29883,0.48985,0.27495,0.90576,0,0.0003664,0.0003664,0.0003664
98,420.073,0.30734,0.47751,0.27188,0.87756,0,0.9673,0.97656,0.99108,0.95963,0.9673,0.97656,0.99108,0.93234,0.27486,0.51252,0.26808,0.89109,0,0.0003598,0.0003598,0.0003598
99,424.112,0.32807,0.52229,0.28359,0.89662,0,0.98149,0.96094,0.99112,0.95689,0.98149,0.96094,0.99232,0.94467,0.27967,0.48747,0.25496,0.8818,0,0.0003532,0.0003532,0.0003532
100,428.657,0.32694,0.53088,0.27999,0.88436,0,0.97365,0.96094,0.98292,0.9457,0.97365,0.96094,0.99261,0.93719,0.28856,0.48641,0.2674,0.88472,0,0.0003466,0.0003466,0.0003466
101,433.018,0.33436,0.51901,0.31729,0.90735,0,0.97042,0.97656,0.98367,0.95205,0.97042,0.97656,0.99315,0.93226,0.27546,0.49928,0.26083,0.89057,0,0.00034,0.00034,0.00034
102,437.203,0.3381,0.51882,0.2786,0.87521,0,0.96801,0.98438,0.99008,0.94802,0.96801,0.98438,0.993,0.9242,0.27797,0.53443,0.24883,0.89833,0,0.0003334,0.0003334,0.0003334
103,441.487,0.33055,0.55038,0.2907,0.89792,0,0.96843,0.97656,0.99041,0.94759,0.96843,0.97656,0.99186,0.93193,0.27943,0.50707,0.25369,0.91107,0,0.0003268,0.0003268,0.0003268
104,445.908,0.32259,0.49157,0.28044,0.8962,0,0.96896,0.97552,0.99191,0.94942,0.96896,0.97552,0.9925,0.93998,0.28625,0.48583,0.24702,0.91121,0,0.0003202,0.0003202,0.0003202
105,450.158,0.3223,0.50561,0.27066,0.88962,0,0.96873,0.96819,0.98234,0.93639,0.96873,0.96819,0.98234,0.92656,0.28728,0.50184,0.285,0.9194,0,0.0003136,0.0003136,0.0003136
